Evento;Fecha;Hora;Latitud;Longitud;Prof. (Km);Inten.;Mag.;Epicentro;Estación;Dist.epic.(km);Aceleración máxima(mg) N-S;Aceleración máxima(mg) V;Aceleración máxima(mg) E-W
970250;05/02/2010;15:10:06;28.4390;-16.2340;28;IV;4.5;SE SANTA CRUZ DE TENERIFE.ITF;Santa Cruz de Tenerife (SANTA CRUZ DE TENERIFE);4.0;1.98;2.46;4.78
es2021rxzkq;12/09/2021;23:46:55;28.5683;-17.8524;9;II-III;3.4;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);11.8;3.78;3.24;4.10
es2021ryfxv;13/09/2021;03:02:56;28.5726;-17.8626;9;;3.1;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);10.9;2.85;2.21;3.44
es2021ryggx;13/09/2021;03:13:31;28.5728;-17.8521;9;II-III;3.3;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);11.4;3.76;3.02;4.50
es2021sahhb;14/09/2021;06:00:00;28.5780;-17.8790;9;III;3.5;S EL PASO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);9.8;2.51;3.39;3.43
es2021sjnfy;19/09/2021;07:12:27;28.6152;-17.8694;;III;3.2;S EL PASO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);6.6;1.89;1.56;2.47
es2021sjsmw;19/09/2021;09:52:03;28.6125;-17.8675;1;III;3.2;SE EL PASO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);6.9;1.73;1.62;1.85
es2021sjtgv;19/09/2021;10:16:45;28.6163;-17.8695;;III-IV;3.8;S EL PASO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);6.5;10.26;7.83;9.75
es2021smjdw;20/09/2021;20:32:46;28.6148;-17.9010;;III;3.8;SE TAZACORTE.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);5.2;12.50;9.40;11.09
es2021snacw;21/09/2021;05:06:50;28.6262;-17.8998;1;III;3.2;SW EL PASO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);4.0;2.19;3.87;2.30
es2021teqei;30/09/2021;20:30:12;28.5790;-17.8483;13;III;3.5;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);11.0;1.88;3.50;2.24
es2021tfzgw;01/10/2021;14:13:01;28.5621;-17.8530;10;III;3.6;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.4;4.19;3.00;5.27
es2021thqva;02/10/2021;12:12:45;28.5611;-17.8423;11;III;3.6;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.0;2.46;5.38;3.33
es2021tkagc;03/10/2021;19:14:37;28.5629;-17.8261;12;III;3.7;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.7;2.36;3.26;3.83
es2021tkeuv;03/10/2021;21:32:47;28.5592;-17.8264;12;III;3.5;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);14.1;2.54;2.83;2.15
es2021tkfye;03/10/2021;22:06:59;28.5570;-17.8451;10;III;3.4;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.3;1.46;1.23;1.53
es2021tlmkh;04/10/2021;14:30:59;28.5651;-17.8290;11;III;3.7;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.4;3.23;2.01;3.36
es2021tlvgc;04/10/2021;18:58:51;28.5679;-17.8423;10;III-IV;3.7;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.4;2.63;3.36;2.91
es2021tmmii;05/10/2021;03:36:38;28.6168;-17.8083;38;III;3.9;NW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);11.2;2.57;2.49;3.17
es2021tmvzm;05/10/2021;08:29:25;28.5685;-17.8476;12;III;3.6;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.0;1.73;3.41;2.27
es2021tmwju;05/10/2021;08:41:25;28.5539;-17.8355;13;II-III;3.3;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);14.0;0.84;1.98;0.99
es2021toxua;06/10/2021;11:39:40;28.5587;-17.8336;12;III;3.7;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.7;2.75;3.03;2.41
es2021tptqh;06/10/2021;22:42:04;28.5510;-17.8325;13;III-IV;3.9;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);14.5;3.14;4.74;4.46
es2021tptxn;06/10/2021;22:50:30;28.5616;-17.8377;11;III;3.7;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.2;2.29;2.04;3.18
es2021tqsob;07/10/2021;11:17:10;28.5761;-17.7924;35;III;4.3;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);15.0;2.66;9.07;5.13
es2021tryrn;08/10/2021;03:31:03;28.5810;-17.8300;38;III;3.8;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.0;4.55;4.44;4.86
es2021tsqzq;08/10/2021;12:46:00;28.5735;-17.8458;12;III;3.9;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);11.7;2.75;3.24;3.29
es2021tufzs;09/10/2021;09:28:42;28.5872;-17.7969;31;II-III;3.8;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.9;4.76;4.34;5.11
es2021tuidf;09/10/2021;10:33:36;28.5685;-17.8370;12;III;3.6;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.6;1.92;6.02;2.59
es2021turyx;09/10/2021;15:31:28;28.5568;-17.8417;13;III;3.6;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.5;3.17;3.45;2.78
es2021tvazs;09/10/2021;20:05:35;28.5791;-17.8362;36;III;3.9;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);11.7;7.66;6.10;7.67
es2021tvmpw;10/10/2021;01:57:22;28.5603;-17.8118;34;II-III;3.8;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);14.9;3.95;3.92;3.95
es2021twbgj;10/10/2021;09:20:55;28.5487;-17.8320;37;;2.7;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);14.7;4.83;3.47;3.01
es2021twird;10/10/2021;13:05:40;28.5639;-17.8420;38;II-III;4.0;N FUENCALIENTE DE LA PALMA.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.8;3.96;2.76;4.24
es2021twzvu;10/10/2021;21:46:27;28.5856;-17.8256;38;III;4.3;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);11.9;11.72;7.10;9.24
es2021tyvdc;11/10/2021;21:39:13;28.5559;-17.8385;13;III;3.6;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.7;3.78;2.92;3.73
es2021tzcul;12/10/2021;01:31:35;28.5555;-17.8341;13;III;3.7;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);14.0;3.35;2.26;2.91
es2021tzoeq;12/10/2021;07:16:50;28.5611;-17.8351;13;III-IV;3.7;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.4;5.79;3.66;4.19
es2021tzols;12/10/2021;07:25:05;28.5745;-17.8228;37;III-IV;4.1;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.0;6.51;7.42;8.14
es2021ubbyq;13/10/2021;03:22:09;28.5774;-17.8260;37;III-IV;3.9;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.5;3.84;4.73;5.19
es2021ubycu;13/10/2021;14:33:48;28.5751;-17.8192;36;III-IV;4.4;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.2;6.10;4.69;4.24
es2021uctrv;14/10/2021;01:27:59;28.5871;-17.8131;37;IV;4.5;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.7;25.74;10.76;20.23
es2021udkxg;14/10/2021;10:09:27;28.5643;-17.8233;11;III;3.4;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.8;3.04;2.25;3.27
es2021ufagf;15/10/2021;07:02:19;28.5760;-17.8228;36;III-IV;4.5;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.8;7.08;3.93;4.05
es2021ufhsh;15/10/2021;10:48:31;28.5808;-17.8160;38;III-IV;4.1;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.9;4.96;5.59;6.21
es2021ufvnw;15/10/2021;17:47:42;28.5615;-17.8398;13;III-IV;4.0;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.1;3.31;4.22;4.39
es2021ufzzy;15/10/2021;20:03:01;28.5552;-17.8384;13;IV;4.0;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.8;3.47;8.91;4.89
es2021ugrcy;16/10/2021;04:41:53;28.5623;-17.8283;37;III-IV;4.6;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.7;4.49;3.84;3.72
es2021ugtxs;16/10/2021;06:07:02;28.5843;-17.8175;34;IV-V;4.5;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.6;17.24;10.31;14.39
es2021uijqg;17/10/2021;03:10:47;28.5857;-17.8006;35;IV;4.3;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.7;15.07;9.50;15.40
es2021uinda;17/10/2021;04:56:35;28.5630;-17.8336;11;II;3.2;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.3;2.67;2.31;2.59
es2021uizid;17/10/2021;11:06:12;28.5674;-17.8114;35;IV;4.0;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);14.3;2.98;1.95;1.96
es2021ujytw;17/10/2021;23:57:36;28.5713;-17.8223;36;IV;4.6;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.3;4.08;6.20;6.21
es2021ukcef;18/10/2021;01:40:35;28.5826;-17.8117;38;III-IV;4.1;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.1;7.90;6.14;7.99
es2021ukrpc;18/10/2021;09:28:17;28.5620;-17.8303;10;III;3.5;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.6;4.88;2.21;5.96
es2021ukvtg;18/10/2021;11:33:56;28.5891;-17.8110;37;III-IV;4.3;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.7;9.63;4.89;6.76
es2021ulpit;18/10/2021;21:27:51;28.5590;-17.8214;13;IV;3.8;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);14.4;3.63;4.41;4.51
es2021umwks;19/10/2021;14:10:17;28.5828;-17.8212;36;III-IV;4.5;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.4;10.78;5.38;4.39
es2021unlnj;19/10/2021;21:48:00;28.5855;-17.8192;39;IV-V;4.8;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.3;49.38;15.08;29.77
es2021upcuz;20/10/2021;19:40:04;28.5621;-17.8331;10;III-IV;3.4;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.4;3.81;2.20;4.68
es2021upetz;20/10/2021;20:39:30;28.5622;-17.8301;10;III-IV;3.5;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.6;3.86;2.97;4.47
es2021upmxg;21/10/2021;00:45:47;28.5616;-17.8349;14;III-IV;3.7;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.4;2.75;5.10;3.29
es2021uppvq;21/10/2021;02:14:49;28.5727;-17.8391;37;IV;4.3;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.1;9.54;8.65;10.94
es2021uqpja;21/10/2021;15:08:06;28.5598;-17.8406;12;III-IV;3.8;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.2;4.35;3.68;3.41
es2021uqpyo;21/10/2021;15:26:14;28.5703;-17.8332;9;III;3.5;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);12.7;5.01;4.57;4.14
es2021urbbg;21/10/2021;21:02:44;28.5647;-17.8303;10;III;3.4;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.3;3.10;1.90;4.36
es2021urbpo;21/10/2021;21:19:25;28.5700;-17.8259;11;III-IV;3.8;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.1;4.25;5.57;4.70
es2021uress;21/10/2021;22:54:03;28.5654;-17.8260;33;IV;4.4;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);13.5;10.50;5.27;4.77
es2021urupe;22/10/2021;06:54:49;28.5868;-17.8245;38;IV;4.2;SW VILLA DE MAZO.ILP;Barros. Los (SANTA CRUZ DE TENERIFE);11.9;3.68;2.86;3.58
es2021usaim;22/10/2021;09:49:06;28.5600;-17.8307;13;III;3.7;NE FUENCALIENTE DE LA PALMA.IL;Barros. Los (SANTA CRUZ DE TENERIFE);13.7;1.96;2.00;2.72
